tconst	averageRating	numVotes
tt0022188	7.9	11
tt0022201	6.1	83
tt0022208	7.0	4794
tt0022218	6.7	22
tt0022241	7.1	149
tt0022248	6.1	30
tt0022251	6.8	2957
tt0022267	6.9	17
tt0022279	6.7	1422
tt0022291	5.8	31
tt0022296	5.6	169
tt0022303	6.3	360
tt0022342	6.5	8
tt0022353	5.9	442
tt0022355	6.2	55
tt0022357	6.3	1134
tt0022359	6.3	169
tt0022363	7.2	22
tt0022436	7.6	2243
tt0022450	6.1	59
tt0022476	5.3	62
tt0022500	6.1	308
tt0022557	7.7	23
tt0022572	6.0	211
tt0022574	7.4	17
tt0022645	6.5	126
tt0022648	7.3	39
tt0022660	6.7	1551
tt0022661	5.4	53
tt0022700	6.4	1467
tt0022725	7.5	1645
tt0022746	6.2	166
tt0022769	6.7	97
tt0022784	5.9	373
tt0022791	5.5	159
tt0022811	3.8	43
tt0022813	5.4	24
tt0022827	6.4	4514
tt0022845	7.0	11
tt0022866	5.5	52
tt0022867	6.6	2923
tt0022882	5.8	577
tt0022896	6.2	39
tt0022907	6.0	51
tt0022934	5.3	174
tt0022953	6.2	37
tt0023040	4.8	46
tt0023047	6.7	19
tt0023055	6.2	285
tt0023060	6.3	22
tt0023085	6.9	12
tt0023122	5.1	53
tt0023128	5.7	117
tt0023141	8.1	26
tt0023162	6.1	240
tt0023164	7.8	16
tt0023186	6.1	78
tt0023191	5.8	62
tt0023198	6.9	631
tt0023208	6.1	163
tt0023236	4.1	1138
tt0023254	4.8	20
tt0023257	7.3	86
tt0023262	5.4	286
tt0023268	6.9	689
tt0023271	6.9	509
tt0023291	6.6	111
tt0023314	6.6	55
tt0023322	5.9	587
tt0023326	6.8	796
tt0023333	5.3	243
tt0023344	6.4	93
tt0023349	6.1	1254
tt0023353	6.2	24
tt0023357	5.5	94
tt0023391	3.5	19
tt0023412	6.5	63
tt0023435	7.1	21
tt0023471	6.1	79
tt0023484	6.7	77
tt0023492	6.1	57
tt0023509	6.6	21
tt0023545	6.1	472
tt0023581	6.3	813
